Disease,Symptoms,Medical_Specialty
carpal tunnel syndrome,"weakness, system:'you, patients, a_steering_wheel, the_numb_feeling, the_fingers, their_hands, numbness, index, the_sensation, the_arm, the_hand, but_not_the_little_finger, these_symptoms, time, and_pain, an_electric_shock, phone, many_people, middle_or_ring_fingers, which, the_median_nerve, you, usually_the_thumb, carpal_tunnel_syndrome_symptoms, hand, a_sensation, newspaper, these_fingers, their_symptoms, i, the_wrist, the_numbness, sleep, patient, the_hand_and_drop_objects, this, the_thumb's_pinching_muscles, fingers","Neurologist, Orthopedist"
castleman disease,"unicentric_castleman_disease, that, underarm_and_groin_areas, signs, some_unrelated_problem, system:'you, patients, symptoms, night_sweats, any_signs, many_people, which, multicentric_castleman_disease, some_people, the_enlarged_lymph_nodes, a_physical_exam, an_imaging_test, collarbone, unintended_weight_loss, spleen, i, the_neck, patient, the_enlarged_lymph_node, liver, fever, fatigue","Gastroenterologist, Orthopedist"
cat scratch disease,"headache, swollen_lymph_nodes, fever, fatigue",Infectious Disease Specialist
cataracts,"cataracts, your_vision, the_lens, signs, the_eye's_lens, system:'you, blurred_or_dim_vision, colors, patients, brighter_light, yellowing, reading, light, symptoms, vision, a_single_eye, eyeglass_or_contact_lens_prescription_fading, your_lens, a_cataract, more-noticeable_symptoms, only_a_small_part, the_light, it, you, other_activities, any_vision_loss, the_cataract, i, the_cloudiness, patient, this, lights_frequent_changes, glare, night_sensitivity",General Practitioner
cavernous malformations,"movement, spinal_cord, problems, ccms_ccm, signs, an_initial_bleed, system:'you, patients, the_brain, memory_and_attention_problems, recurrent_bleeding, symptoms, balance, vision, seizures, repeat_bleeding, apparent_symptoms, time, trouble, the_arms_or_legs_numbness_difficulty, the_outer_surface, changes, the_brainstem, the_spinal_cord, the_legs, a_ccm, ccms__seizures_severe_headaches_weakness, ccms, i, other_cases, arms, a_repeat_bleed, patient, basal_ganglia, example, bowel_and_bladder_symptoms, double_vision__neurological_issues","Gastroenterologist, Neurologist"
cavities,"their_extent, a_cavity, spontaneous_pain, that, signs, hot_or_cold_visible_holes, system:'you, patients, pain, pits, symptoms, the_signs, something, cavities, any_symptoms, a_tooth_pain, toothache, your_mouth, a_toothache, any_surface, a_dentist, regular_dental_checkups, it, you, cleanings, the_decay, tooth_sensitivity, any_apparent_cause, i, mouth_pain, your_teeth, location, your_dentist, patient, sharp_pain",General Practitioner
celiac disease,"possible_problems, hands, this_condition, signs, children_children, dermatitis_herpetiformis, system:'you, this_itchy, fatigue_nervous_system_injury, patients, nausea, knees, the_skin_condition, children, symptoms, balance, the_signs, or_both, osteoporosis, nutrients, adults, numbness, intolerance, swollen_belly_constipation_gas_pale, bone, the_lining, iron_deficiency_loss, attention-deficit/hyperactivity_disorder, more_than_half_the_adults, constipation, buttocks, the_small_intestine, disabilities, osteomalacia, changes, the_digestive_system, the_inability, chronic_diarrhea, failure, digestive_problems, the_rash, scalp, the_elbows, cognitive_impairment_joint_pain, delayed_puberty_neurological_symptoms, seizures__dermatitis_herpetiformis, digestive_symptoms, foul-smelling_stools, digestive_signs, bone_density, adhd, those, headaches, i, tooth_enamel_weight_loss_anemia_irritability_short_stature, muscle_coordination, the_feet, anemia, the_spleen_(hyposplenism, lack, skin_disease, patient, torso, infants_damage, doctors, medication, a_gluten-free_diet, celiac_disease","Dermatologist, Orthopedist"
cellulite,"the_breasts, that, system:'you, patients, the_skin, peaks, a_cottage_cheese, the_thighs, upper_arms, dimpled_or_bumpy_skin, buttocks, your_thighs, your_skin, cellulite, it, you, orange_peel_texture, mild_cellulite, areas, an_area, i, lower_abdomen, patient, valleys",Dermatologist
cellulitis,"cellulitis, skin, that, skin_changes, system:'you, i, the_body, pain, patients, an_irritated_area, one_side, redness, lymph_node_enlargement, symptoms, patient, its_signs, blisters, tenderness",Dermatologist
central sleep apnea,"abnormal_breathing_patterns, system:'you, patients, sleep_abrupt_awakenings, hypersomnia, symptoms, some_degree, the_presence, shortness, episodes, airflow_obstruction, morning_headaches, snoring, changes, obstructive_sleep_apnea, it, mood, breath_difficulty, i, central_sleep_apnea, common_signs, patient","Psychiatrist, Pulmonologist"
cerebral palsy,"movement, coordination, a_wide_gait, a_crouched_gait, problems, signs, the_body, system:'you, and_other_problems, balance_and_muscle_coordination, patients, the_brain, knees, epilepsy, symptoms, one_or_two_limbs, speech, other_problems, muscle_tone, a_scissors-like_gait, seizures, toes, the_symptoms, excessive_drooling, muscle_shortening_and_muscle_rigidity, urinary_incontinence_mental_health_conditions, or_one_side, either_too_stiff_or_too_floppy_stiff_muscles, time, the_child, milestones, person, stiff_muscles, one_side, constipation, a_leg, an_asymmetrical_gait_difficulty, jerky_involuntary_movements, cerebral_palsy, movements, the_brain_disorder, it, one_hand, the_whole_body, behavioral_problems, normal_reflexes, rigidity)_lack, (ataxia)_tremors, difficulty, exaggerated_reflexes, smaller_size, other_neurological_problems, spasticity, delays, development, vision_and_abnormal_eye_movements_abnormal_touch_or_pain_sensations_bladder, clothes, some_symptoms, i, speech_development_difficulty, growth, fine_motor_skills, age, intellectual_disabilities, motor_skills, patient, bowel_problems, learning_difficulties, development__delays, the_most_common_movement_disorder_variations, emotional_disorders","Neurologist, Urologist"
cervical cancer,"that, signs, system:'you, patients, the_vaginal_canal, pain, no_signs, symptoms, early-stage_cervical_cancer, female_reproductive_system, periods, close_female_reproductive_system, more-advanced_cervical_cancer, fallopian_tubes, a_foul_odor_pelvic_pain, cervix, watery, intercourse, bloody_vaginal_discharge, menopause, vaginal_bleeding, the_ovaries, the_female_reproductive_system, i, vagina, patient, uterus, female_reproductive_system___female_reproductive_system",Oncologist
cervical dystonia,"askmayoexpert, weakness, people, any_age, gene_mutations, feet, chin, mayo_foundation, associated_procedures, https://www.clinicalkey.com, a_variety, eanswers, rochester, shoulder_injuries, higher_risk, nearby_areas, mayo_clinic_staff, related__associated_procedures___deep_brain_stimulation___electromyography, comella_c._treatment, risk_factors_risk_factors, facts, i, age, patient, ., the_cause, a_close_family_member, the_disorder, system:'you, patients, services, neck_health, https://www.wolterskluwercdi.com/facts-comparisons-online/., the_head, the_involuntary_muscle_contractions, the_shoulders, a_family_history, research, references__dystonias_fact_sheet, 4th_ed, many_people, space, tingling, comparisons, some_people, your_body, the_muscle_contractions, it, eds, researchers, rehabilitation, spasmodic_torticollis, https://www.uptodate.com/contents/search, who, dystonia, headaches, 2021___print_print__share_on:_facebooktwitter_facebook, a_combination, 2019.__related__associated_procedures___deep_brain_stimulation___electromyography, mri, arms, an_appointment_request, musculoskeletal_disorders, essentials, trunk, your_chin, medical_education, that, some_cases, pain, directions, most_people, numbness, the_arms, et, frontera, twisting, legs, neck, family_history, complications, physical_medicine, a_jerking_motion, stroke, the_amount, mri_____products, hands, the_most_common_locations, causes, the_spinal_canal, the_most_common_type, men, national_institute, https://www.ninds.nih.gov/disorders/patient-caregiver-education/fact-sheets/dystonias-fact-sheet, botulinum_toxins, book, some_other_type, your_head, women, references, your_shoulder, evaluation, you, emg, comella_c._classification, shoulder_chin, the_face, deep_brain_stimulation___electromyography, bone_spurs, your_sex, abnormal_head_postures, philadelphia, neck_pain, back, minn, cervical_dystonia, and_rehabilitation, shoulder_ear, fact_sheet, this, neurological_disorders, the_pain","Neurologist, Orthopedist"
cervical spondylosis,"a_chronic_cough, weakness, fits, my_back_hurts, the_bones, feet, dizziness, muscle_weakness, no_symptoms, balance_and_dizzy_concerns, a_hacking_cough, trouble, and_numbness, my_muscles, the_vertebrae, vertigo_and_balance_loss, my_balance, dizzy_and_off_balance, my_limbs, a_productive_cough, balance_issues, vertigo_and_balance_problems, woozy, and_a_persistent_cough, i, and_instability, patient, balanced_and_experience_dizziness, coordination, system:'you, patients, a_persistent_cough, terrible_back_pain, a_dry_cough, dizzy_and_off-balance, loss_of_balance, vertigo, and_severe_back_pain, the_space, a_while, balance_concerns, it, periodic_coughing, disorientation, my_arms, mucus, arms, dizziness_and_balance_issues, the_neck, nerve_roots, that, the_nerve_roots, pain, and_limb_weakness, most_people, weakness_in_limbs, back_pain, balance_loss, numbness, the_arms, and_legs, my_back, my_feet, legs, neck, and_weakness, the_spinal_cord, myself, balance_and_dizziness_issues, cervical_spondylosis_results, a_lingering_cough, hands, the_spinal_canal, problems, the_body, a_chronic_cough_and_limb_weakness, symptoms, phlegm, a_cough, instability, my_neck, bowel_control, a_lot, a_narrowing, the_spine, loss, a_dizzy_and_unstable_sensation, a_terrible_backache, you, bladder, difficulty, uneven_balance, the_rest, and_dizziness, neck_pain, and_limbs, they","Neurologist, Orthopedist"
cervicitis,"signs, system:'you, a_pelvic_exam, patients, painful_urination_pain, no_signs, symptoms, a_menstrual_period, cervicitis____________cervicitis___cervicitis, the_condition, an_inflammation, close__close_cervicitis___cervicitis, sex_bleeding, you, your_cervix, menstrual_periods, cervicitis, vaginal_bleeding, sex, another_reason, i, unusual_vaginal_discharge, your_doctor, large_amounts, patient, a_pus-like_discharge, they, cervicitis___cervicitis",Gynecologist
chagas disease,"months, the_acute_phase, that, signs, esophagus_stomach_pain, system:'you, some_cases, irregular_heartbeat_heart_failure_sudden_cardiac_arrest_difficulty, patients, symptoms, acute_phase, diarrhea, appetite_nausea, chagas_disease, your_liver, brief_illness, eyelid_swelling_headache_loss, many_people, constipation, enlarged_colon, severe_cases, which, a_long-lasting_(chronic)_condition, the_infection, chronic_phase_signs, it, swollen_glands_enlargement, the_infection_site_fever_fatigue_rash_body, body, the_chronic_phase, acute, i, chagas_disease_signs, heart_and_digestive_problems, weeks, spleen__signs, initial_infection, patient, the_chronic_stage, they, fever, fatigue","Gastroenterologist, Infectious Disease Specialist"
chalazion,"sight, the_eyelid, the_upper_eyelid, sensitivity, the_line, red_lump, light, the_chalazion, localized_inflammation, tenderness, blurred_vision, mild_discomfort",General Practitioner
chancroid,"the_groin, sores, swollen_lymph_nodes, the_genital_area, painful_ulcers",Gastroenterologist
charcot marie tooth disease,"the_disease, weakness, the_chemotherapy_drugs_vincristine, kang_pb._charcot-marie-tooth_disease, people, muscles, an_appointment___diagnosis_&_treatment_diagnosis_&_treatment_diagnosis, charcot-marie-tooth_disease_fact_sheet, related_diseases, https://www.cmtausa.org/living-with-cmt/managing-cmt/medications/., feet, genetic_condition, falling_decreased_sensation, your_legs, the_protective_coating, pareyson, https://www.ninds.nih.gov/disorders/patient-caregiver-education/fact-sheets/charcot-marie-tooth-disease-fact-sheet, these_mutations, tooth, higher_risk, the_nerve_(myelin_sheath, diagnosis, mayo_clinic__charcot-marie-tooth_diseasesymptoms, marqibo, prognosis, all, related__associated_procedures___electromyography, these_functions, mayo_clinic_staff, hammertoes, clinical_trials, mayo_clinic, mayo_clinic__products_&_services___book, foot_abnormalities, facts, anyone, brain, i, your_doctor, your_brain, clinical_features, patient, ., 10th_ed._mcgraw-hill, al, simon, signs, severity, the_disorder, system:'you, your_feet, management, patients, treatmentdoctors, diabetes, neuropathies, services, gene_therapy___genetic_testing___knee_braces, mayo_clinic_health_letter, toes, the_symptoms, 2017;_doi:10.1097, osteoarthritis___show, mutations, your_foot, neurology, your_brain's_signal, family_members, it, charcot-marie-tooth_disease, the_genes, (abraxane, others, 5th_edition___newsletter, https://www.uptodate.com/contents/search, pain_messages, clinical_neurology, pedicure_pointers, we, the_muscles, areas, other_hereditary_neuropathies, mayo_clinic_family_health_book, klein, arms, your, the_severity, an_appointment_request, other_causes, https://www.mda.org/disease/charcot-marie-tooth, feet_loss, that, a_blister, continuum, neurotoxic_medications, complications_complications, weaker_messages, muscular_dystrophy_association, rp, 2020.__related__associated_procedures___electromyography, ability, https://www.cmtausa.org/living-with-cmt/managing-cmt/important-foot-care-for-people-with-cmt/., departments__charcot-marie-tooth_disease_symptoms, ankles, the_most_serious_problems, wco, american_podiatric_medical_association, causesdiagnosis, medications, the_nerves, 2019.146625_2019.146625_pareyson, legs, j.brainres.2019.146625, more_associated_procedures, normal_step_(gait)_frequent_tripping, /j.brainres.2019.146625, brain_research, sensation, your_immediate_family, genetics, your_toe, stroke, cj, rossor, et_al._new_developments, feeling, hands, klein_cj, national_institute, the_medications, cmt, the_body, symptoms, https://www.apma.org/patients/healthyfeettips.cfm?itemnumber=9859, more_associated_procedures__products_&_services___book, paclitaxel, references__klein, more_products, person, current_opinion, muscle_bulk, et_al._sensory_disorders, other_mutations, both, treatment, charcot-marie-tooth_association, references_klein_cj, departments, you, these_other_conditions, emg, the_hands, feet_high_foot_arches, your_limbs, digital_edition, difficulty, more_associated_procedures___products_&_services___book, risk_factors_charcot-marie-tooth_disease, a_loss, the_feet, neurological_disorders, example","Neurologist, Orthopedist"
